[2019-03-22 16:21:09,332] http://localhost:5000/tag?10001&conv=001*1553239269320*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:10,166] http://localhost:5000/tag?10001&conv=001*1553239270152*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:10,356] http://localhost:5000/tag?10001&conv=001*1553239270345*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:10,518] http://localhost:5000/tag?10001&conv=001*1553239270508*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:10,697] http://localhost:5000/tag?10001&conv=001*1553239270683*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:10,874] http://localhost:5000/tag?10001&conv=001*1553239270866*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:11,047] http://localhost:5000/tag?10001&conv=001*1553239271039*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:38,685] http://localhost:5000/tag?10001&conv=001*1553240078666*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:39,846] http://localhost:5000/tag?10001&conv=001*1553240079832*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:40,443] http://localhost:5000/tag?10001&conv=001*1553240080434*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:40,985] http://localhost:5000/tag?10001&conv=001*1553240080973*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:41,146] http://localhost:5000/tag?10001&conv=001*1553240081132*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:41,311] http://localhost:5000/tag?10001&conv=001*1553240081298*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:45,002] http://localhost:5000/tag?10001&conv=001*1553240084983*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:45,133] http://localhost:5000/tag?10001&conv=001*1553240085127*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:45,293] http://localhost:5000/tag?10001&conv=001*1553240085281*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:45,446] http://localhost:5000/tag?10001&conv=001*1553240085437*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:48,231] http://localhost:5000/tag?10001&conv=001*1553240088217*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:48,391] http://localhost:5000/tag?10001&conv=001*1553240088380*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:34:48,572] http://localhost:5000/tag?10001&conv=001*1553240088562*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:38:16,265] http://localhost:5000/tag?10001&conv=001*1553240296252*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:38:25,479] http://localhost:5000/tag?10001&conv=001*1553240305461*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:22,497] http://localhost:5000/tag?10001&conv=001*1553240662479*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:23,260] http://localhost:5000/tag?10001&conv=001*1553240663250*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:23,702] http://localhost:5000/tag?10001&conv=001*1553240663692*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:23,881] http://localhost:5000/tag?10001&conv=001*1553240663868*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:53,091] http://localhost:5000/tag?10001&conv=001*1553240693077*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:53,752] http://localhost:5000/tag?10001&conv=001*1553240693740*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:53,920] http://localhost:5000/tag?10001&conv=001*1553240693897*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:44:54,062] http://localhost:5000/tag?10001&conv=001*1553240694050*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:01,517] http://localhost:5000/tag?10001&conv=001*1553240761500*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:29,612] http://localhost:5000/tag?10001&conv=001*1553240789599*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:30,168] http://localhost:5000/tag?10001&conv=001*1553240790157*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:30,584] http://localhost:5000/tag?10001&conv=001*1553240790570*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:30,784] http://localhost:5000/tag?10001&conv=001*1553240790767*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:30,972] http://localhost:5000/tag?10001&conv=001*1553240790966*http://www.test.com/test2.html*N/A*1553239107177
